Headlines,Time,Description
"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says","10:30  AM ET Fri, 26 June 2020","""It's definitely not best of breed, but it's not garbage either,"" the ""Mad Money"" host said."
"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone"," 5:12  AM ET Wed, 24 June 2020","Byron Wien, vice chairman at Private Wealth Solutions Group at Blackstone, weighs in on the shape of the economic recovery."
We expect a U-shaped economic recovery: Strategist,"10:09  PM ET Tue, 23 June 2020","Erik Knutzen of Neuberger Berman says he's cautious about the trajectory of the market and economic recoveries, and explains why his base case scenario is for U.S. GDP to contract 6% this year."
Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense'," 8:08  PM ET Tue, 23 June 2020","""If you want a short-term trade with a terrific track record, [Larry] Williams says you should buy the S&P two days before July 4,"" the ""Mad Money"" host said."
Cramer's lightning round: Two thumbs up for AstraZeneca," 7:13  PM ET Tue, 23 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',"10:40  PM ET Tue, 23 June 2020","""That transformation is inevitable,"" Impossible Foods founder and CEO Patrick Brown said after Starbucks launched the Impossible Breakfast Sandwich."
,,
"Spotify's story is starting to mirror Netflix's, Jim Cramer says"," 8:29  PM ET Mon, 22 June 2020","Wall Street has finally bought into Spotify's podcasting strategy and ""what matters here is subscriber growth,"" the ""Mad Money"" host said."
"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says"," 8:24  PM ET Mon, 22 June 2020","""This was a day when both the recession stocks and the recovery stocks worked"" and ""someone, one of these two groups, has to be wrong,"" sooner or later, the ""Mad Money"" host said."
Barstool's Dave Portnoy says he'll focus on sports betting when sports return," 7:06  PM ET Mon, 22 June 2020","""I'm enjoying the stock stuff ... It's been fun ... but I'm a sports guy. I'm a sports better,"" Barstool Sports founder Dave Portnoy said after jumping into day trading."
Cramer's lightning round: Caterpillar needs an acceleration of our economy," 7:02  PM ET Mon, 22 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Nielsen CEO explains why he took on the additional role of chief diversity officer," 1:49  PM ET Sun, 21 June 2020","""I'm fortunate to have a very diverse team helping me and they encouraged me last year to take the title on,"" Nielsen CEO David Kenny said on CNBC on Friday."
"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says"," 7:47  PM ET Thu, 18 June 2020","""If the S&P 500 really does surge to 3,400, up 9.1% from these levels, maybe take something off the table,"" the ""Mad Money"" host said."
Cramer's lightning round: A patient person can wait for GE to payoff," 7:24  PM ET Thu, 18 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way," 7:02  PM ET Thu, 18 June 2020","The 10 bull markets ""will keep working as America reopens,"" the ""Mad Money"" host said."
Cramer's lightning round: STMicroelectronics is a 'very good company'," 7:17  PM ET Wed, 17 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers," 7:12  PM ET Wed, 17 June 2020","""We are seeing the e-commerce demand flow through to our rail business,"" Union Pacific CEO Lance Fritz told CNBC's Jim Cramer."
"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says"," 6:54  PM ET Wed, 17 June 2020","""I think the story is so compelling that it's worth putting on a small position even up here,"" the ""Mad Money"" host said."
Cramer advises investors to continue investing based on the 'new normal'," 6:44  PM ET Wed, 17 June 2020","""These social distancing stocks have become some of the best investments around. I think they'll stay that way until we get a vaccine,"" the ""Mad Money"" host said."
"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'"," 8:11  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer broke down what drove Tuesday's market rally."
Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal," 7:00  PM ET Tue, 16 June 2020",CNBC's Jim Cramer weighs his favorite stock picks amid talks of the Trump administration considering a massive infrastructure spending package.
,,
Cramer's lightning round: Let's buy some Pinterest," 6:57  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Canopy Growth CEO expects weed will be legalized federally by 2022," 6:57  PM ET Tue, 16 June 2020","""My assumption is that 2022, for me, is the magic number,"" he said in a ""Mad Money"" interview."
"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy"," 7:37  PM ET Mon, 15 June 2020","""I think the behaviors that were built in the last several months have the real potential to continue to provide a catalyst for improved results,"" CEO Mark Clouse said in a ""Mad Money"" interview."
Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me'," 7:32  PM ET Mon, 15 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks," 7:23  PM ET Mon, 15 June 2020","""As Zoom goes, so go Zscaler and CrowdStrike and Cramer-fave RingCentral,"" the ""Mad Money"" host said."
Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40'," 8:21  PM ET Fri, 12 June 2020","""If the combination's over 40, you've got a good one. If it's under 40, you've got a riskier one,"" the ""Mad Money"" host said."
,,
Cramer's week ahead: This is the 'most overbought market in history'," 8:03  PM ET Fri, 12 June 2020","""As long as you think we aren't going into a second lockdown, even as Covid cases spike, then you want to buy your favorite stocks into weakness here,"" Cramer said."
Centene CEO calls for better education for at-risk youth as one solution to racial disparities," 8:26  PM ET Fri, 12 June 2020","""One of the things we have to do to correct this is improve the educational system in the inner city,"" health insurer Centene CEO Michael Neidorff said."
Cramer's lightning round: Alibaba is the only Chinese stock I recommend," 7:15  PM ET Fri, 12 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Pullback on Nasdaq a good opportunity to join the uptrend: Daryl Guppy,"10:22  PM ET Thu, 11 June 2020",Daryl Guppy of Guppytraders.com gives technical analysis on key U.S. market indices and VIX.
'The threats are becoming higher' — L3Harris CEO says tech is driving the future of warfare," 8:56  PM ET Thu, 11 June 2020","""The competition of the future, the war fight of the future, is going to be based on new technology,"" L3Harris CEO Bill Brown said on ""Mad Money."""
"CEO of Tommy Hilfiger owner vows to 'do better' on corporate diversity, social justice"," 8:18  PM ET Thu, 11 June 2020","PVH, the parent company of such brands as Tommy Hilfiger and Calvin Klein, plans to develop ""meaningful targets"" and be accountable, CEO Manny Chirico said."
Cramer's lightning round: I don't want anything to do with a real estate development company," 7:05  PM ET Thu, 11 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer recommends buying these stocks after Thursday's brutal rout," 4:41  AM ET Fri, 12 June 2020","""In a tough market, you need to circle the wagons around the few good names you feel comfortable buying and then buying more if they go lower,"" Cramer said."
Cramer's lightning round: Cloudflare is good," 6:59  PM ET Wed, 10 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Wall Street can't rally much higher without a coronavirus vaccine, Jim Cramer warns"," 6:59  PM ET Wed, 10 June 2020","""No broad-based rally from this level is sustainable without a major scientific breakthrough in the fight against Covid-19,"" the ""Mad Money"" host said."
"Polaris has a 'once-in-a-generation opportunity,' Jim Cramer says"," 6:40  PM ET Wed, 10 June 2020","""This is a company that benefits enormously from the V-shaped recovery thesis, and it also works with a slower recovery,"" Cramer said."
"Hertz's stock may look cheap, but Cramer cautions against buying it"," 7:41  PM ET Tue,  9 June 2020","""It doesn't matter how little you pay for a stock, when it goes to zero, you lose everything,"" the ""Mad Money"" host said."
Cramer's lightning round: General Mills and Axon Enterprise are worth a buy," 7:08  PM ET Tue,  9 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer urges investors to be wary of airline and cruise stocks — buy these 5 winners instead," 6:37  PM ET Tue,  9 June 2020","Cramer said Facebook, AMD, Apple, Amazon and Nvidia can go higher based on their strengths. ""That's why I keep going back to them, and you should too."""
,,
Markets could go even higher in this liquidity-driven rally: Professor," 2:43  AM ET Tue,  9 June 2020","As the S&P 500 wipes its 2020 losses and Nasdaq closes at a record high, Jeremy Siegel of the University of Pennsylvania explains why he thinks the markets could go higher still."
Expect the Fed to continue to provide support to propel economy: Strategist,"10:36  PM ET Mon,  8 June 2020","Sam Stovall of CFRA discusses the U.S. economy amid the current crisis and a looming recession. Sam foresees that Fed will not be too quick to remove the stimulus, ahead of the FOMC meeting this week."
Cramer's lightning round: Software maker Ping Identity is a buy," 7:41  PM ET Mon,  8 June 2020","""Mad Money"" host Jim Cramer says the stocks of Ping Identity and Biohaven Pharmaceuticals are worth a buy."
Cramer: These are the stocks that helped power the Nasdaq to a record high during the pandemic," 7:39  PM ET Mon,  8 June 2020","The Nasdaq's rally is ""more representative of this market than the endless rebound in the hospitality and travel stocks"" due to reopening, Cramer said."
CEO of Airstream maker says new people are seeing benefits of traveling by RV during pandemic," 6:50  PM ET Mon,  8 June 2020","""You really only have to stop to get gas,"" Thor Industries CEO Bob Martin said in explaining the benefits of RV travel."
Most global indexes have surpassed our 12-month targets: CIO,"11:54  AM ET Fri,  5 June 2020","The magnitude of the rally in U.S. stocks since March has come as a surprise, says Tuan Huynh of Deutsche Bank Wealth Management. With the markets pricing in a ""blue sky"" scenario, he says now is the time to take some profits off the table."
,,
"The future of commerce needs more diverse voices, Shopify COO says"," 8:53  PM ET Thu,  4 June 2020","""We stand with our black merchants, our black employees and the black community worldwide,"" Shopify COO Harley Finkelstein said amid civil unrest in America."
Cramer's lightning round: Macy's stock can go higher," 7:21  PM ET Thu,  4 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: The pandemic led to 'one of the greatest wealth transfers in history'," 7:20  PM ET Thu,  4 June 2020","""I think we're looking at a V-shaped recovery in the stock market, and that has almost nothing to do with a V-shaped recovery in the economy,"" the ""Mad Money"" host said."
Nancy Pelosi calls for 'very strong' change in response to nationwide unrest," 6:55  PM ET Thu,  4 June 2020","""Let's take this moment to be an inflection point ... that we are going to not just proceed incrementally, but in a very strong way to do things differently,"" the House Speaker said."
We stand behind our 3400 target for S&P 500 by Q1 2021: BMO Capital Markets," 3:19  AM ET Thu,  4 June 2020","Brian Belski of BMO Capital Markets says in addition to Fed support on liquidity, the fundamentals of economy and quality of U.S. stocks supported the 40% rally from the March lows. He sees further upside in market based on projected recovery in second half of the year."
Crowdstrike CEO explains how the future of remote work and security will look," 8:59  PM ET Wed,  3 June 2020","The remote work wave is a ""subset of digital transformation"" and was sped up over night by the coronavirus pandemic, CEO George Kurtz said in a ""Mad Money"" interview."
Cramer's lightning round: Microsoft fits the pattern of what this market wants," 8:21  PM ET Wed,  3 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors are rotating into and out of these stocks," 6:42  PM ET Wed,  3 June 2020","""Normalcy is shop until you drop. And today's action says that's exactly where we're headed,"" the ""Mad Money"" host said."
"China is the 'first leading indicator' of a rebound in autos, Marvell Tech CEO says"," 9:37  PM ET Tue,  2 June 2020","China is showing ""very positive signs of production resuming,"" Marvell Technology CEO Matt Murphy said."
Cramer's lightning round: I'm starting to warm up again to Wells Fargo," 5:32  PM ET Wed,  3 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"China and Europe 'bailed our stock market out,' Jim Cramer says"," 6:48  PM ET Tue,  2 June 2020","""If the rest of the world's in better shape, well, that is fantastic news for our companies that do lots of business overseas,"" the ""Mad Money"" host said."
"Camping and RV stocks are 'back in a big way,' Jim Cramer says"," 6:38  PM ET Tue,  2 June 2020","""I think the pandemic has given the industry a huge long-term boost,"" the ""Mad Money"" host said."
Chipotle CEO on stores damaged in protests: 'We can patch up and fix'," 9:07  PM ET Mon,  1 June 2020","""Fortunately, all of our employees have been safe,"" Chipotle CEO Brian Niccol said in a ""Mad Money"" interview."
Jim Cramer on Wall Street's relation to George Floyd protests: 'The market has no conscience'," 4:56  PM ET Tue,  2 June 2020","The ""Mad Money"" host worries how the nationwide protests, which he generally supports, could impact the fight against coronavirus."
,,
Cramer's lightning round: Harley-Davidson is not a buy,"10:36  AM ET Tue,  2 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Cognex manufactures in America and should be celebrated," 7:05  PM ET Fri, 29 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Salesforce and Costco are flashing buy signals to investors, Jim Cramer says"," 6:59  PM ET Fri, 29 May 2020","The ""Mad Money"" host said ""history tells me that you've gotta buy them when they're weak."""
Cramer's week ahead: This is a bad time for a trade war," 6:48  PM ET Fri, 29 May 2020","""Right now, our economy's struggling and any kind of retaliation from China will make it even more difficult for us to recover."""
It's a good time to take profits from the US stock market: Analyst,"12:23  AM ET Fri, 29 May 2020","Dan Niles of AlphaOne Capital Partners says the market is increasingly traded technically. Based on valuations, equity investors who mainly take long positions can consider taking profits at the current levels."
Cramer's lightning round: Buy AMD over Intel," 6:29  PM ET Fri, 29 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Jim Cramer says market still in for a 'rough ride,' suggests sticking with remote tech stocks"," 7:54  AM ET Fri, 29 May 2020","""I think the 'V for victory' crowd may have gotten ahead of themselves,"" the ""Mad Money"" host said."
Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done'," 6:51  PM ET Thu, 28 May 2020","""This is a transformational opportunity for AT&T wireless,"" Salesforce CEO Marc Benioff told CNBC's Jim Cramer."
"HP CEO commits to company's buyback program, says stock is 'undervalued'"," 8:51  PM ET Wed, 27 May 2020","""[W]e are going to stay committed to the principles that we shared in the value plan,"" HP CEO Enrique Lores said on ""Mad Money."""
Cramer's lightning round: Waste Management is a buy," 7:16  PM ET Wed, 27 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
'I think they're confused' — Jim Cramer says bull investors have one thing wrong about the economy," 7:07  PM ET Wed, 27 May 2020","""I'm betting the field will be spread out by the time we get to the homestretch, and many of the current winners will fall behind,"" the ""Mad Money"" host said."
Corteva Agriscience expects mid-Michigan floods to have a 'minimal impact' on revenue," 8:56  PM ET Tue, 26 May 2020","""Only 1% of our second half revenue is dependent on any of the products that come out of Midland,"" CEO Jim Collins said."
Jim Cramer reveals what stocks to own if betting on a V-shaped recovery," 8:31  PM ET Tue, 26 May 2020","""If we don't have a giant outbreak in the states that are aggressively reopening — a big if — then a V-shaped recovery is actually on the table,"" the ""Mad Money"" host said."
Cramer's lightning round: Canopy is 'most legit' of the cannabis stocks," 7:45  PM ET Tue, 26 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer shakes up his Cramer Covid-19 Index: Wall Street is 'more confident' about a recovery," 6:55  PM ET Tue, 26 May 2020","""The market's gotten more confident that we'll have a speedy, V-shaped recovery ... and that makes the recession stocks less attractive,"" the ""Mad Money"" host said."
"Target saw strength in April 'across our entire portfolio,' CEO Brian Cornell says"," 7:19  PM ET Thu, 21 May 2020","""We're building market share and I think most importantly ... we built trust with American consumers during the pandemic,"" Target CEO Brian Cornell said."
"Shelter-in-place will have a 'lasting impact on consumer behavior,' Jim Cramer says"," 7:15  PM ET Thu, 21 May 2020","""Just remember, even as we reopen for business, the new normal is not the old normal,"" the ""Mad Money"" host said."
Cramer's lightning round: I prefer Tesla to Ford," 6:52  PM ET Thu, 21 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
'Wall Street doesn't like ad hominem' — Jim Cramer warns of renewed U.S.-China tensions," 6:50  PM ET Thu, 21 May 2020","""I think we should hold off on another trade war until the economy's in better shape,"" the ""Mad Money"" host said."
Cramer's lightning round: Consolidation is a 'positive' for Citrix Systems," 7:01  PM ET Wed, 20 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"FAANG emerges as the latest group to lead the market, Jim Cramer says"," 6:32  PM ET Wed, 20 May 2020","""This market's been going through leadership groups like there's no tomorrow,"" the ""Mad Money"" host said."
Lowe's to support reopening minority businesses with $25 million in grants," 6:18  PM ET Wed, 20 May 2020","""To all my fellow CEOs out there running large companies: Let's do our part to help the small businesses get back up and going,"" Lowe's CEO Marvin Ellison said."
Small and mid-cap equities are more reflective of the real U.S. economy: Wells Fargo," 4:42  AM ET Wed, 20 May 2020","Kirk Hartman of Wells Fargo Asset Management says the gap between U.S. small caps and large caps is closing. He sees some value in the small-cap space, but the key is to have the economy recover first."
"Coronavirus is powering the rush for web-based contact centers, Five9 CEO says"," 8:11  PM ET Tue, 19 May 2020",Five9 CEO Rowan Trollope said the cloud-based communications provider saw an acceleration of new companies adopting the service to continue operations.
"'We've probably taken a depression off the table,' Jim Cramer says"," 8:01  PM ET Tue, 19 May 2020","""I'm not saying this market's done going down. There's always the possibility that we get more sell-offs,"" the ""Mad Money"" host said."
Cramer's lightning round: Disney is going to get through this," 7:06  PM ET Tue, 19 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Jim Cramer: Chart action suggests more upside if the S&P 500 breaks key hurdle," 6:48  PM ET Tue, 19 May 2020","""This is still a very uncertain moment,"" the ""Mad Money"" host said."
Cramer's lightning round: Penske Automotive is 'a very inexpensive stock'," 8:33  PM ET Mon, 18 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer advises investors not to get too optimistic over Moderna vaccine progress," 6:57  PM ET Mon, 18 May 2020","The ""Mad Money"" host explained why investors should shape their portfolio to account for more positive and negative information on the coronavirus fight."
Here's what's driving stocks higher despite mounting economic worries: Kevin O'Leary," 9:45  AM ET Sat, 16 May 2020","The stock market's divergence from its dismal economic backdrop can be explained, ETF analysts say."
DraftKings CEO: esports betting surged during pandemic due to 'pent-up demand' for sports," 9:54  AM ET Sat, 16 May 2020","""I think what it shows you is there's a lot of pent-up demand for sports,"" DraftKings CEO Jason Robins said."
Cramer's lightning round: Never buy Caterpillar going into a recession," 7:24  PM ET Fri, 15 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
